Beat,District,Community Area,Homicide Count
1112,11,23,180
712,7,68,136
1532,15,25,135
421,4,43,133
1533,15,25,131
631,6,44,127
1011,10,29,127
624,6,69,124
423,4,46,122
1121,11,23,117
1031,10,30,116
713,7,67,116
1522,15,25,111
1531,15,25,107
322,3,69,107
711,7,68,104
1021,10,29,104
1132,11,26,103
533,5,54,103
524,5,53,103
612,6,71,102
1523,15,25,101
523,5,53,98
733,7,68,97
825,8,66,97
1115,11,26,96
832,8,66,96
513,5,49,96
321,3,42,93
611,6,71,92
632,6,44,92
331,3,43,92
422,4,46,92
324,3,43,91
511,5,49,91
823,8,66,90
1524,15,25,89
2532,25,25,88
1511,15,25,88
613,6,71,84
532,5,53,84
323,3,69,83
512,5,49,81
424,4,46,81
735,7,67,80
734,7,67,79
726,7,67,79
725,7,67,78
614,6,71,77
1012,10,29,77
522,5,53,76
934,9,61,74
2534,25,23,74
2234,22,75,74
932,9,61,73
723,7,68,73
332,3,43,73
824,8,63,73
1133,11,27,72
731,7,69,71
1113,11,26,71
431,4,51,69
1024,10,30,69
1123,11,27,68
1022,10,29,68
1122,11,26,68
313,3,42,68
831,8,66,66
531,5,49,64
1111,11,23,64
1014,10,29,63
2531,25,25,63
1124,11,27,63
933,9,61,62
414,4,43,62
334,3,43,61
432,4,52,60
732,7,68,60
931,9,61,60
2223,22,73,59
715,7,67,59
835,8,70,57
1135,11,27,57
2533,25,25,56
624,6,44,55
333,3,43,55
924,9,61,55
633,6,44,55
1122,11,23,55
623,6,69,54
1032,10,30,53
621,6,71,53
1423,14,24,53
2232,22,73,53
714,7,67,52
1231,12,28,50
1131,11,26,50
1134,11,27,49
2222,22,73,49
922,9,58,49
2233,22,49,49
1513,15,25,48
834,8,70,46
2515,25,19,46
814,8,56,46
1131,11,25,46
2422,24,1,45
1013,10,30,45
311,3,40,44
413,4,48,44
231,2,40,43
1033,10,30,42
522,5,49,42
1114,11,26,42
634,6,49,42
1512,15,25,42
213,2,38,42
923,9,63,41
411,4,45,41
312,3,42,41
223,2,38,40
1422,14,23,40
1013,10,29,40
412,4,45,39
722,7,68,38
623,6,44,38
233,2,40,38
211,2,35,38
1113,11,25,38
414,4,46,37
915,9,61,36
224,2,38,36
2521,25,19,36
434,4,51,35
1823,18,8,35
314,3,42,35
2512,25,19,35
912,9,58,34
324,3,69,34
1233,12,28,34
1223,12,28,34
1133,11,26,34
822,8,63,33
724,7,68,33
2535,25,23,32
1034,10,31,32
1222,12,27,32
1034,10,30,31
2221,22,73,31
1234,12,31,31
312,3,69,31
413,4,47,31
1125,11,28,30
232,2,40,30
411,4,43,30
1713,17,14,30
1723,17,14,30
2212,22,75,29
2413,24,2,29
622,6,71,29
921,9,58,29
2424,24,1,28
212,2,35,28
234,2,40,28
2524,25,22,26
1232,12,28,26
1913,19,3,26
1822,18,8,26
935,9,37,26
2412,24,2,25
225,2,40,25
221,2,38,25
1024,10,29,25
1914,19,3,25
1413,14,22,25
1111,11,25,25
2433,24,77,25
1233,12,31,25
1821,18,8,24
1133,11,29,24
133,1,35,24
1223,12,31,24
911,9,58,23
1831,18,8,23
